orgunit,title,pub_type,date_issued,authors,doi,publisher,abstract_en,abstract_de,pdf_paths,pdf_count
E194,Diffusing High-level SLO in Microservice Pipelines,Inproceedings,2024,"Sedlak, Boris,Casamayor Pujol, Victor,Donta, Praveen Kumar,Dustdar, Schahram",10.1109/SOSE62363.2024.00008,IEEE,"Complex interactions within microservice architectures obfuscate the implications of individual services to high-level requirements. This becomes even more grave for multi-tenant and multi-vendor scenarios, like Edge computing, where different stakeholders might specify opposing Service Level Objectives (SLOs), e.g., minimizing both energy consumption and response time. To avoid contradictions within SLOs and to infer how SLOs can be fulfilled, this paper presents a methodology that diffuses high-level SLOs into multiple lower levels of SLOs and parameter assignments. Thus, it becomes clear how individual sub-processes contribute to high-level SLOs, and how these must be configured to foster their fulfillment. We evaluated our methodology for several microservice pipelines, where the challenge is to ensure multiple high-level SLOs (e.g., customer satisfaction) by finding and constraining all influential factors. The results show that by inferring multiple layers of lower-level constraints, we can fulfill high-level SLOs up to 100%. Notably, we could extract that the restrictiveness of low-level SLOs and the occurrence of conflicts have a severe impact on SLO fulfillment.",,,0
E191,Emerging Synchrony in Applauding Audiences: Formal Analysis and Specification,Inproceedings,2024,"Di Stefano, Luca,Inverso, Omar",10.1007/978-3-031-73709-1_16,None,,,,0
E192,CryptoVampire: Automated Reasoning for the Complete Symbolic Attacker Cryptographic Model,Inproceedings,2024,"Jeanteur, Simon,Kovács, Laura,Maffei, Matteo,Rawson, Michael",10.1109/SP54263.2024.00246,IEEE,"Cryptographic protocols are hard to design and prove correct, as witnessed by the ever-growing list of attacks even on protocol standards. Symbolic models of cryptography enable automated formal security proofs of such protocols against an idealized cryptographic model, which abstracts away from the algebraic properties of cryptographic schemes and thus misses attacks. Computational models of cryptography yield rigorous guarantees but support at present only interactive proofs and/or restricted classes of protocols (e.g., stateless ones). A promising approach is given by the computationally complete symbolic attacker (CCSA) model, formalized in the BC Logic, which aims at bridging and getting the best of the two worlds, obtaining cryptographic guarantees by symbolic protocol analysis. The BC Logic is supported by a recently developed interactive theorem prover, namely Squirrel, which enables machine-checked interactive security proofs, as opposed to automated ones, thus requiring expert knowledge both in the cryptographic space as well as on the reasoning side.In this paper, we introduce the CryptoVampire cryptographic protocol verifier, which for the first time fully automates proofs of trace properties in the BC Logic. The key technical contribution is a first-order formalization of protocol properties with tailored handling of subterm relations. As such, we overcome the burden of interactive proving in higher-order logic and automatically establish soundness of cryptographic protocols using only first-order reasoning. Our first-order encoding of cryptographic protocols is challenging for various reasons. On the theoretical side, we restrict full first-order logic with cryptographic axioms to ensure that, by losing the expressivity of the higher-order BC Logic, we do not lose soundness of cryptographic protocols in our first-order encoding. On the practical side, CryptoVampire integrates dedicated proof techniques using first-order saturation algorithms and heuristics, which all together enable leveraging the state-of-the-art Vampire first-order automated theorem prover as the underlying proving engine of CryptoVampire. Our experimental results showcase the effectiveness of CryptoVampire as a standalone verifier as well as in terms of automation support for Squirrel.",,,0
E192;E194,Message from General Chairs; EuroSP 2024,Inproceedings,2024,"Weippl, Edgar,Maffei, Matteo",10.1109/EuroSPW61312.2024.00005,None,A warm welcome to Vienna! We're excited to host the IEEE EuroS&P 2024 at the University of Vienna's Faculty of Informatics from July 8th to 12th. It brings together researchers and enthusiasts in security&privacy from all over the world for in-person discussions and collaborations. Huge thanks to the organizers and everyone involved in making this event possible!,,,0
E193;E330;E259,Programming Robot Animation Through Human Body Movement,Inproceedings,2024,"Frijns, Helena Anna,Stoeva, Darja,Schürer, Oliver,Gelautz, Margrit",10.1109/ARSO60199.2024.10557907,IEEE,"The aim of our work is to make it easier for non-programmers to program robot motion. We designed a system that translates human motion to motion of a (virtual and physical) humanoid Pepper robot. The system enables programming robot animations using pose-matching imitation of human motion. We developed a prototype that implements recording functionality, evaluated the prototype, and revised the system architecture based on feedback from participants with expertise in dance or programming the Pepper robot. We extend a conceptual design space for computer animation by including a physical robot. On the basis of this design space and the prototype development, we describe interaction design considerations for robot animation systems that implement human-humanoid imitation systems.",,pdfs/Programming_Robot_Animation_Through_Human_Body_Movement.pdf,1
E193,ToiletHelp: Leveraging 3D sensors to assist people with dementia in the toilet,Presentation,2024-04-05,"Ballester Campos, Irene",,,,,,0
E193,Egocentric Vision for Active Assisted Living,Presentation,2024-07-07,"Mucha, Wiktor Adam",,,,,,0
E193,Person-Centric Sensing in Indoor Environments,Book Contribution,2024,"Strohmayer, Julian,Lumetzberger, Jennifer,Heitzinger, Thomas,Kampel, Martin",10.1007/978-3-031-59531-8_11,Springer,,,,0
E194,Distributed Intelligence in the Computing Continuum using Active Inference (Part 1 and 2),Presentation,2024-06-26,"Dustdar, Schahram,Donta, Praveen Kumar",,,,,,0
E194,Establishing interoperability between EMF and MSDKVS: an M3-level-bridge to transform metamodels and models,Article,2024-07-18,"Cesal, Florian,Bork, Dominik",10.1007/s10270-024-01169-x,,"Many powerful metamodeling platforms enabling model-driven software engineering (MDSE) exist, each with its strengths, weaknesses, functionalities, programming language(s), and developer community. Platform interoperability would enable users to exploit their mutual benefits. Such interoperability would allow the transformation of metamodels and models created in one platform into equivalent metamodels and models in other platforms. Language engineers could then freely choose the metamodeling platform without risking a lock-in effect. Two well-documented and publicly available metamodeling platforms are the eclipse modeling framework (EMF) and the modeling SDK for visual studio (MSDKVS). In this paper, we propose an M3-level-bridge (M3B) that establishes interoperability between EMF and MSDKVS on the abstract syntax level and on the graphical concrete syntax level. To establish such interoperability we (i) compare the two platforms, (ii) present a conceptual mapping between them, and (iii) implement a bidirectional transformation bridge including both the metamodel and model layer. We evaluate our approach by transforming a collection of publicly available metamodels and automatically generated or manually created models thereof. The transformation outcomes are then used to quantitatively and qualitatively evaluate the transformation’s validity, executability, and expressiveness.",,pdfs/Establishing_interoperability_between_EMF_and_MSDKVS_an_M3-level-bridge_to_transform_metamodels_and_models.pdf,1
E193,Human Interactions With (Embodied) AI: The Future of Authenticity in Human–AI Relation(ship)s,Book Contribution,2024,"Weiss, Astrid",10.1515/9783110792270-012,None,,,,0
E194,Generating Semantic Context  for Data Interoperability in Relational Databases using BGE M3-Embeddings,Presentation,2024-11-09,"Altug, Bugra,Weise, Martin,Rauber, Andreas",,,,,pdfs/Generating_Semantic_Context_for_Data_Interoperability_in_Relational_Databases_using_BGE_M3-Embeddings.pdf;pdfs/Generating_Semantic_Context_for_Data_Interoperability_in_Relational_Databases_using_BGE_M3-Embeddings_2.pdf,2
E193,On-Body and Out-of-Body  Interactions & Experiences,Presentation,2024-09,"Cauchard, Jessica Rebecca",,,,,,0
E193,On and Out-of-Body Interactions & Experiences,Presentation,2024-09-19,"Cauchard, Jessica Rebecca",,,,,,0
E192,Deontic Explanations Through Dialogue and 5 Key Challenges,Presentation,2024-10-16,"van Berkel, Kees",,,,,,0
E056;E192,With Biabduction towards Memory Safety across the Rust-C-FFI,Presentation,2024-09-17,"Sextl, Florian",,,,,,0
E192,Brief Announcement: Musketeer - Incentive-Compatible Rebalancing for Payment Channel Networks,Inproceedings,2024,"Avarikioti, Zeta,Schmid, Stefan,Tiwari, Samarth",10.1145/3662158.3662809,None,"We revisit the severely limited throughput problem of cryptocurrencies and propose a novel rebalancing approach for Payment Channel Networks (PCNs). PCNs are a popular solution for increasing the blockchain throughput, however, their benefit depends on the overall users' liquidity. Rebalancing mechanisms are the state-of-the-art approach to maintaining high liquidity PCNs. However, existing opt-in rebalancing mechanisms exclude users that may assist in rebalancing for small service fees, leading to suboptimal solutions and under-utilization of the PCNs' bounded liquidity.We introduce the first rebalancing approach for PCNs that includes all users, following a ""all for one and one for all"" design philosophy that yields optimal throughput. The proposed approach introduces a double-auction rebalancing problem, which we term Musketeer, where users can participate as buyers (paying fees to rebalance) or sellers (charging fees to route transactions). The desired properties are tailored to the unique characteristics of PCNs, including the novel game-theoretic property of cyclic budget balance that is a stronger variation of strong budget balance.Basic results derived from auction theory, including an impossibility and multiple mechanisms that either achieve all desiderata under a relaxed model or sacrifice one of the properties, are presented. We also propose a novel mechanism that leverages time delays as an additional cost to users. This mechanism is provably truthful, cyclic budget balanced, individually rational and economic efficient but only with respect to liquidity.",,,0
E193,Data Augmentation Techniques for Cross-Domain WiFi CSI-Based Human Activity Recognition,Inproceedings,2024,"Strohmayer, Julian,Kampel, Martin",10.1007/978-3-031-63211-2_4,None,"The recognition of human activities using WiFi Channel State Information (CSI) facilitates contactless, long-range, and visual privacy-preserving sensing in confined indoor environments. However, the strong environmental dependence inherent to CSI presents a challenge for robust cross-domain generalization, limiting its practical applicability. Drastic environmental variations, such as transitions between line-of-sight (LOS) and non-line-of-sight (NLOS) through-wall scenarios or changes in antenna configurations, introduce a significant domain gap that can lead to severely degraded model performance at test time. To address the challenge of model generalization in these demanding cross-scenario and cross-system settings, an area that remains under-explored, this work investigates the effectiveness of data augmentation techniques commonly utilized in image-based learning when applied to WiFi CSI. We collect and make publicly available a dataset of CSI amplitude spectrograms of human activities. Utilizing this data, an ablation study is conducted in which we train activity recognition models based on the EfficientNetV2 architecture, allowing us to evaluate the impact of each augmentation on model generalization performance. The results show that, although no single technique is universally effective, specific combinations of data augmentations applied to CSI amplitude features can significantly enhance generalization in certain cross-scenario and cross-system settings.",,,0
E193,Depth-based interactive assistive system for dementia care,Article,2024-12,"Ballester, Irene,Gall, Markus,Münzer, Thomas,Kampel, Martin",10.1007/s12652-024-04865-0,,"Dementia often leads to reduced autonomy and the need for help with activities of daily living, such as the use of the lavatory. In response, we present ToiletHelp, a novel system to provide automated, step-by-step guidance to individuals with dementia when using the lavatory. In such an intimate environment, it is crucial to maintain the user’s privacy, which ToiletHelp achieves by sensing only depth maps. ToiletHelp uses a depth sensor to detect when the user is in need of assistance and tailors the guidance accordingly, using a combination of verbal and visual prompts. Our main contribution is the development of the first assistance system for people with dementia in such a sensitive environment as the lavatory. In addition, what sets ToiletHelp apart is its comprehensive involvement of 60 participants, 33 end-users and 27 healthcare workers, throughout its development process. A user-centered evaluation validates the interaction design, demonstrating enhanced feelings of security and independence among older adults, as well as successful comprehension of instructions by participants with dementia. Caregivers report high satisfaction with the system’s modalities and confirm its effectiveness in reducing their workload while assisting end-users. These findings not only validate the success of ToiletHelp and underscore its potential benefits but also contribute to the field of human-computer interaction design. Our comprehensive analysis of the results provides valuable information for researchers developing solutions for individuals with dementia, which is especially valuable given the limited existing literature on the subject.",,,0
E193,Directional Antenna Systems for Long-Range Through-Wall Human Activity Recognition,Inproceedings,2024,"Strohmayer, Julian,Kampel, Martin",10.1109/ICIP51287.2024.10647666,None,,,,0
E191,Improved Parallel Application Performance and Makespan by Colocation and Topology-aware Process Mapping,Inproceedings,2024,"Vardas, Ioannis,Hunold, Sascha,SWARTVAGHER, Philippe,Träff, Jesper Larsson",10.1109/CCGrid59990.2024.00023,IEEE,"In modern, deeply hierarchical HPC systems shared resource congestion can hinder the efficient use of many cores by parallel applications and degrade performance. Such congestion is often caused when parallel processes within an application that execute similar operations share the same resources. Previous research suggests using fewer cores with better process-to-core mapping can improve applications’ performance but leaves many cores unused. To utilize these cores, we colocate additional applications and map them using a topology-aware process-to-core, application-agnostic mapping algorithm. We show that these mappings significantly impact memory bandwidth and communication latency. We evaluate our approach using eight parallel applications on an HPC system with 128-core nodes, demonstrating the performance effects of mappings combined with colocation. Our goal is to determine whether colocation with topology-aware mapping is a viable alternative to typical exclusive node allocation. Our results show makespan improvements of 2.4x over exclusive allocation in an HPC system, demonstrating the potential benefits of colocation with optimized mappings.",,,0
E193,"In My Perspective, in My Hands: Accurate Egocentric 2D Hand Pose and Action Recognition",Inproceedings,2024,"Mucha, Wiktor,Kampel, Martin",10.1109/FG59268.2024.10582035,None,"Action recognition is essential for egocentric video understanding, allowing automatic and continuous monitoring of Activities of Daily Living (ADLs) without user effort. Existing literature focuses on 3D hand pose input, which requires computationally intensive depth estimation networks or wearing an uncomfortable depth sensor. In contrast, there has been insufficient research in understanding 2D hand pose for egocentric action recognition, despite the availability of user-friendly smart glasses in the market capable of capturing a single RGB image. Our study aims to fill this research gap by exploring the field of 2D hand pose estimation for egocentric action recognition, making two contributions. Firstly, we introduce two novel approaches for 2D hand pose estimation, namely EffHandNet for single-hand estimation and EffHandEgoNet, tailored for an egocentric perspective, capturing interactions between hands and objects. Both methods outperform state-of-the-art models on H2O and FPHA public benchmarks. Secondly, we present a robust action recognition architecture from 2D hand and object poses. This method incorporates EffHandEgoNet, and a transformer-based action recognition method. Evaluated on H2O and FPHA datasets, our architecture has a faster inference time and achieves an accuracy of 91.32% and 94.43%, respectively, surpassing state of the art, including 3D-based methods. Our work demonstrates that using 2D skeletal data is a robust approach for egocentric action understanding. Extensive evaluation and ablation studies show the impact of the hand pose estimation approach, and how each input affects the overall performance. The code is available at https://github.com/wiktormucha/effhandegonet.",,,0
E192,Local Search Algorithms for the Oven Scheduling Problem,Inproceedings,2024,"Da Ros, Francesca,Di Gaspero, Luca,Lackner, Marie-Louise,Musliu, Nysret,Winter, Felix",10.1145/3638530.3654158,None,"The Oven Scheduling Problem is an NP-hard real-world parallel batch problem arising in electronic component manufacturing. The goal of this problem is to schedule jobs on ovens while minimizing total oven runtime, job tardiness, and setup costs. To reduce oven runtime, compatible jobs can be processed simultaneously in batches. Schedules must respect oven eligibility and availability, job release dates, setup times between batches, and oven capacity constraints, as well as compatibility of job processing times and attributes. We propose and fine-tune a set of local search-based methods including Simulated Annealing, Late Acceptance Hill Climbing, and Tabu Search. A comparative analysis with solutions obtained by exact methods demonstrates the robustness of local search-based methods. We are capable of finding optimal solutions whenever the optimum is known and significantly improve the solution quality for more than half of the instances. The best local search approaches find high-quality solutions within a short amount of time (i.e., already in 30 seconds) which demonstrates their effectiveness for real-world applications.",,,0
E193,Experiencing Deaf Tech: A Deep Dive into the Concept of DeafWatch,Inproceedings,2024,"Angelini, Robin,Spiel, Katta,De Meulder, Maartje",10.1145/3663548.3688483,None,,,,0
E194,Guest editorial for EMMSAD’2023 special section,Article,2024-09-26,"Bork, Dominik,Proper, Henderik A.",10.1007/s10270-024-01213-w,,"The Exploring Modeling Methods for Systems Analysis and Development (EMMSAD) conference series organized 29 events from 1996 to 2024, associated with Conference on Advanced Information Systems Engineering. In 2009, EMMSAD became a two-day working conference. Since 2017, the authors of EMMSAD’s best papers are invited to submit extended versions of their paper, for consideration to be published in the Journal of Software and Systems Modeling. The main topics of the EMMSAD series focus on models and modeling methods for the analysis and development of software information systems of any kind. These are organized into five tracks: (1) Foundations of Modeling and Method Engineering; (2) Enterprise, Business, Process, and Capability Modeling; (3) Information Systems and Requirements Modeling; (4) Domain-Specific and Knowledge Modeling; and (5) Evaluation of Models and Modeling Approaches. The aims, topics, and history of EMMSAD can be also found on its website at http://www.emmsad.org/.",,,0
E192,OAE-RUP: A Strong Online AEAD Security Notion and Its Application to SAEF,Inproceedings,2024,"Bhati, Amit Singh,Andreeva, Elena,Vizár, Damian",10.1007/978-3-031-71073-5_6,Springer,"Release of unverified plaintexts (RUP) security is an important target for robustness in AE schemes. It is also highly crucial for lightweight (LW) implementations of online AE schemes on memory-constrained devices. Surprisingly, very few online AEAD schemes come with provable guarantees against RUP integrity and not one with any well-defined RUP confidentiality. In this work, we first propose a new strong security notion for online AE schemes called OAE-RUP that captures security under blockwise processing of both encryption (which includes nonce-misuse) and decryption (which includes RUP). Formally, OAE-RUP combines the standard RUP integrity notion INT-RUP with a new RUP confidentiality notion sOPRPF (strong Online PseudoRandom Permutation followed by a pseudorandom Function). sOPRPF is based on the concept of “strong online permutations” and can be seen as an extension of the well-known CCA3 notion (Abed et al., FSE 2014) that captures arbitrary-length inputs. An OAE-RUP-secure scheme is resistant against nonce-misuse as well as leakage of unverified plaintexts where the integrity remains unaffected, and the confidentiality of any encrypted plaintext is preserved up to the leakage of the longest prefix with the leaked plaintexts and the leakage of the length of the longest prefix with the nonce-repeating ciphertexts. We then prove the OAE-RUP security of the SAEF mode. SAEF is a ForkAE mode (Asiacrypt 2019) that is optimized for authenticated encryption of short messages and processes the message blocks sequentially and in an online manner. At SAC 2020, it was shown that SAEF is also an online nonce misuse-resistant AE (OAE), offering enhanced security against adversaries that make blockwise adaptive encryption queries. It has remained an open question if SAEF also resists attacks against blockwise adaptive decryption adversaries or, more generally, when the decrypted plaintext is released before verification (RUP). Our proofs are conducted using the coefficients H technique, and they show that, without any modifications, SAEF is OAE-RUP secure up to the birthday bound, i.e., up to 2n/2 processed data blocks, where n is the block size of the forkcipher.",,,0
E193,TEXT2TASTE: A Versatile Egocentric Vision System for Intelligent Reading Assistance Using Large Language Model,Inproceedings,2024,"Mucha, Wiktor,Cuconasu, Florin,Etori, Naome A.,Kalokyri, Valia,Trappolini, Giovanni",10.1007/978-3-031-62849-8_35,None,"The ability to read, understand and find important information from written text is a critical skill in our daily lives for our independence, comfort and safety. However, a significant part of our society is affected by partial vision impairment, which leads to discomfort and dependency in daily activities. To address the limitations of this part of society, we propose an intelligent reading assistant based on smart glasses with embedded RGB cameras and a Large Language Model (LLM), whose functionality goes beyond corrective lenses. The video recorded from the egocentric perspective of a person wearing the glasses is processed to localise text information using object detection and optical character recognition methods. The LLM processes the data and allows the user to interact with the text and responds to a given query, thus extending the functionality of corrective lenses with the ability to find and summarize knowledge from the text. To evaluate our method, we create a chat-based application that allows the user to interact with the system. The evaluation is conducted in a real-world setting, such as reading menus in a restaurant, and involves four participants. The results show robust accuracy in text retrieval. The system not only provides accurate meal suggestions but also achieves high user satisfaction, highlighting the potential of smart glasses and LLMs in assisting people with special needs.",,,0
E193,Through-Wall Imaging Based On WiFi Channel State Information,Inproceedings,2024,"Strohmayer, Julian,Sterzinger, Rafael,Stippel, Christian,Kampel, Martin",10.1109/ICIP51287.2024.10647775,None,,,,0
E194,Towards the Integration of Conversational Agents Through a Social Media Platform to Enhance the Agility of BPM,Inproceedings,2024,"Sarr, Lala Aïcha,Ayite, Paul Komlan,Barthe-Delanoë, Anne -Marie,Bork, Dominik,Macé-Ramète, Guillaume,Benaben, Frederick",10.1007/978-3-031-71739-0_3,None,"Business Processes enable collaboration among various stakeholders, allowing different groups (people, organizations) to work together to achieve common goals. Therefore, optimizing Business Process Management (BPM) is essential for organizational success in today’s dynamic business environment. However, traditional BPM methods often struggle in volatile execution environments characterized by rapid change, dynamic customer demands, and evolving market trends. Innovative strategies are needed to enhance BPM practices and increase the agility of collaborative business processes. To this end, a particularly promising approach is to use Large Language Models (LLM) agents (Artificial Intelligence conversational agents). These AI conversational agents can be integrated into a social media platform to ease the stakeholders’ collaboration by supporting the co-construction, design, modification, execution, and monitoring of collaborative business processes. AI conversational agents in social media platforms democratize BPM by facilitating collaborative process design and execution, streamlining interactions, and fostering seamless communication and personalized assistance, thus enhancing agility.",,,0
E193,Understanding Human Behaviour With Wearable Cameras Based on Information From the Human Hand,Inproceedings,2024,"Mucha, Wiktor Adam,Kampel, Martin",,None,,,,0
E194,Classifying User Roles in Online News Forums: A Model for User Interaction and Behavior Analysis,Inproceedings,2024-06-28,"Scholz, Felix,Kolb, Thomas Elmar,Neidhardt, Julia",10.1145/3631700.3665187,None,,,,0
E141;E194,Training Computer Scientists for the Challenges of Hybrid Quantum-Classical Computing,Inproceedings,2024,"De Maio, Vincenzo,Kanatbekova, Meerzhan,Zilk, Felix,Friis, Nicolai,Guggemos, Tobias,Brandic, Ivona",10.1109/CCGrid59990.2024.00075,None,"As we enter the post-Moore era, we experience the rise of various non-von-Neumann-architectures to address the increasing computational demand for modern applications, with quantum computing being among the most prominent and promising technologies. However, this development creates a gap in current computer science curricula since most quantum computing lectures are strongly physics-oriented and have little intersection with the remaining curriculum of computer science. This fact makes designing an appealing course very difficult, in particular for non-physicists. Furthermore, in the academic community, there is consensus that quantum computers are going to be used only for specific computational tasks (e.g., in computational science), where hybrid systems - combined classical and quantum computers - facilitate the execution of an application on both quantum and classical computing resources. A hybrid system thus executes only certain suitable parts of an application on the quantum machine, while other parts are executed on the classical components of the system. To fully exploit the capabilities of hybrid systems and to meet future requirements in this emerging field, we need to prepare a new generation of computer scientists with skills in both distributed computing and quantum computing. To bridge this existing gap in standard computer science curricula, we designed a new lecture and exercise series on Hybrid Quantum-Classical Systems, where students learn how to decompose applications and implement computational tasks on a hybrid quantum-classical computational continuum. While learning the inherent concepts underlying quantum systems, students are obligated to apply techniques and methods they are already familiar with, making the entrance to the field of quantum computing comprehensive yet appealing and accessible to students of computer science.",,,0
E193,Action Recognition from 4D Point Clouds for Privacy-Sensitive Scenarios in Assistive Contexts,Inproceedings,2024,"Ballester, Irene,Kampel, Martin",10.1007/978-3-031-62849-8_44,None,"Dementia is one of the leading causes of disability and dependency among older people worldwide. To address the challenges faced by people with dementia, vision-based technologies have been proposed to provide context-aware assistance. These technologies typically rely on cameras to understand actions and tailor assistance accordingly. However, privacy concerns hinder their adoption, particularly in privacy-sensitive contexts. This study proposes the use of 4D point clouds as a privacy-preserving modality for assistive systems. By relying only on 3D data and excluding RGB information, we aim to enable personalised assistance while mitigating privacy risks. To assess the feasibility of this approach, we collect a real-world dataset with the help of 16 people with dementia and evaluate the state-of-the-art P4Transformer model on this dataset. Our results show promising performance, demonstrating the viability of point clouds as a practical alternative for privacy-sensitive action recognition in real-world settings. However, the model does not achieve the performance attained on benchmark datasets, highlighting the importance of adapting models to deal with the complexity of real-world data. By addressing privacy challenges and validating the model with real-world datasets, this research contributes to the advancement of privacy-aware assistive systems for people with dementia, towards more personalised and effective dementia care.",,,0
E193,CodeScope: An Execution-based Multilingual Multitask Multidimensional Benchmark for Evaluating LLMs on Code Understanding and Generation,Inproceedings,2024,"Yan, Weixiang,Liu, Haitian,wang, yunkun,Li, Yunzhe,Chen, Qian,Wang, Wen,Lin, Tingyu,Zhao, Weishan,Zhu, Li,Sundaram, Hari,Deng, Shuiguang",10.18653/v1/2024.acl-long.301,None,,,,0
E193,Ethical Impact Identification of a Dementia Behaviour Monitoring System,Inproceedings,2024,"Ballester, Irene,Kampel, Martin",10.1109/FG59268.2024.10581932,None,"The identification of ethical impacts is the first phase of Ethical Impact Assessments, which are used to evaluate the ethical implications of new technologies. Using a structured methodology, this paper explores the identification of ethical impacts of a video-based tool for monitoring dementia-related behaviours. By reflecting on autonomy, dignity, non-maleficence, beneficence, justice and privacy, our work contributes to a broader understanding of the ethical landscape surrounding the use of Artificial Intelligence (AI) and computer vision in healthcare. Our contribution goes beyond the specific aspects of this system as we address consent, privacy and autonomy, factors that are relevant to any technology for people with dementia. We call for the integration of ethical considerations into the design and implementation of AI technologies, ensuring that innovations not only advance clinical care, but also respect fundamental ethical principles.",,,0
E194,Enhancing Cross-Domain Recommender Systems with LLMs: Evaluating Bias and Beyond-Accuracy Measures,Inproceedings,2024,"Kolb, Thomas Elmar",10.1145/3640457.3688027,Association for Computing Machinery,,,,0
E194,Digital Twin Evolution for Sustainable Smart Ecosystems,Inproceedings,2024,"Michael, Judith,David, Istvan,Bork, Dominik",10.1145/3652620.3688343,None,,,,0
E193,Measuring dementia behaviours through depth sensors,Inproceedings,2024,"Ballester Campos, Irene,Kampel, Martin",,None,,,,0
E193,Vision-Based Toilet Assistant for People with Dementia in Real-Life Situations,Inproceedings,2024,"Ballester, Irene,Gall, Markus,Münzer, Thomas,Kampel, Martin",10.1109/PerComWorkshops59983.2024.10503526,None,"Dementia, impacting over 55 million people and projected to reach 139 million by 2050, stands as a major cause of disability and dependence in older people globally. The challenges associated with dementia include the need for assistance in toileting, a distressing routine for both individuals with dementia and their caregivers. To address this issue, we present ToiletHelp, a system that utilizes a 3D sensor to detect difficulties in toilet use and provides customized step-by-step guidance for independent use while maintaining user privacy. ToiletHelp processes privacy-preserving depth maps on the device using a rule-based engine and convolutional neural networks to determine the need for assistance. It then guides the user through verbal and visual prompts. Our evaluation involves real-life scenarios with 20 individuals with dementia in two settings, achieving an accuracy of 80% and an F1-score of 0.83 in the recognition of user actions. This study underscores ToiletHelp's robustness and contributes to advancing assistive technology, fostering independence for people with dementia.",,,0
E193,"""Trigger Warning: This Study Contains Extremist Content."" Research Strategies for Investigations of Online Extremism and Terrorism",Article,2024-07-29,"Blasiak, Kevin M.,Risius, Marten,Matook, Sabine",10.17705/1CAIS.05510,,"Scholars studying online extremism and terrorism face major challenges, including finding safe access to hostile environments where members evade law enforcement. Protective measures, such as research ethics, often overlook the safety of investigators. Investigators, including Open-Source Intelligence (OSINT) analysts, encounter emotional harm, abuse from ideologues, consent issues, and legal challenges in data collection. Despite rising awareness of these challenges, scholars lack guidance on starting and navigating research in these areas. This paper identifies challenges and offers strategies for safely, ethically, and legally researching in this environment.",,pdfs/Trigger_Warning_This_Study_Contains_Extremist_Content._Research_Strategies_for_Investigations_of_Online_Extremism_and_Terrorism.pdf,1
E192,Pitfalls in Machine Learning for Computer Security,Article,2024-10-25,"Arp, Daniel,Quiring, Erwin,Pendlebury, Feargus,Warnecke, Alexander,Pierazzi, Fabio,Wressnegger, Christian,Cavallaro, Lorenzo,Rieck, Konrad",10.1145/3643456,,"With the growing processing power of computing systems and the increasing availability of massive datasets, machine learning algorithms have led to major breakthroughs in many different areas. This development has influenced computer security, spawning a series of work on learning-based security systems, such as for malware detection, vulnerability discovery, and binary code analysis. Despite great potential, machine learning in security is prone to subtle pitfalls that undermine its performance and render learning-based systems potentially unsuitable for security tasks and practical deployment.
In this paper, we look at this problem with critical eyes. First, we identify common pitfalls in the design, implementation, and evaluation of learning-based security systems. We conduct a study of 30 papers from top-tier security conferences within the past 10 years, confirming that these pitfalls are widespread in the current security literature. In an empirical analysis, we further demonstrate how individual pitfalls can lead to unrealistic performance and interpretations, obstructing the understanding of the security problem at hand. As a remedy, we propose actionable recommendations to support researchers in avoiding or mitigating the pitfalls where possible. Furthermore, we identify open problems when applying machine learning in security and provide directions for further research.",,pdfs/Pitfalls_in_Machine_Learning_for_Computer_Security.pdf,1
E191,Exploring Scalability in C++ Parallel STL Implementations,Inproceedings,2024,"Laso Rodriguez, Ruben,Krupitza, Diego,Hunold, Sascha",10.1145/3673038.3673065,ACM,"Since the advent of parallel algorithms in the C++17 Standard Template Library (STL), the STL has become a viable framework for creating performance-portable applications. Given multiple existing implementations of the parallel algorithms, a systematic, quantitative performance comparison is essential for choosing the appropriate implementation for a particular hardware configuration. In this work, we introduce a specialized set of micro-benchmarks to assess the scalability of the parallel algorithms in the STL. By selecting different backends, our micro-benchmarks can be used on multi-core systems and GPUs. Using the suite, in a case study on AMD and Intel CPUs and NVIDIA GPUs, we were able to identify substantial performance disparities among different implementations, including GCC+TBB, GCC+HPX, Intel's compiler with TBB, or NVIDIA's compiler with OpenMP and CUDA.",,pdfs/Exploring_Scalability_in_C_Parallel_STL_Implementations.pdf,1
E193,Crossing Cultures - Global Technology Perspectives,Presentation,2024-10-01,"Cauchard, Jessica Rebecca",,,,,,0
E192,The most general structure of graphs with hamiltonian or hamiltonian connected square,Article,2024-01-01,"Ekstein, Jan,Fleischner, Herbert",10.1016/j.disc.2023.113702,,"On the basis of recent results on hamiltonicity, [5], and hamiltonian connectedness, [9], in the square of a 2-block, we determine the most general block-cutvertex structure a graph G may have in order to guarantee that G² is hamiltonian, hamiltonian connected, respectively. Such an approach was already developed in [10] for hamiltonian total graphs.",,,0
E194,Nyelvi sokszínűség az emberi és gépi fordításban,Presentation,2024-05-15,"Recski, Gábor",,,,,pdfs/Nyelvi_sokszínűség_az_emberi_és_gépi_fordításban.pdf,1
